age,income,treatment,outcome
26.661445004389115,42369.27962294966,0,17749.742516154383
20.543414914481325,47813.587067564695,0,13004.337803569495
38.56688104159297,56122.051660116405,0,8709.985453147587
62.39217712701405,48331.39362781291,0,16949.429439972686
57.25619550516012,73357.93352887836,1,19615.150895146173
44.892110465425816,38243.03743200596,0,12490.15699539971
47.751162852598384,63049.24792107767,0,21060.696445250258
24.75442696753528,27206.483114711315,0,10936.573396527707
61.71543844811427,66870.08710557387,0,31450.81680390692
58.92190351413824,78080.10053857086,0,25554.77776922259
52.136460482121024,53938.443675558396,0,16841.138369368502
42.2419338891048,48557.410516020944,0,16689.87770008952
68.15188195053464,70180.34096843582,1,24636.19461603383
63.7096625375765,58560.866709162816,1,17960.4979429991
51.510385662760164,73937.9798688083,0,24224.758010870464
37.33365188129897,50588.74843523644,0,17570.56260444168
50.13715849143864,51866.88416351206,0,14008.849041669115
47.9229281795946,48558.608810840466,0,15810.125201659659
38.50058336741565,39920.806981977614,1,22896.893308604926
33.94704652777995,40695.97339631508,0,15090.7637762176
39.16456119634076,46075.54666158442,0,5124.9606491781005
47.84339311373669,49045.305821882546,1,20691.309312384714
40.26301192497691,43549.75322111741,1,16569.420079665306
31.70587338647196,66841.34899676038,1,23590.313072663834
57.57009252356205,48484.095496886126,1,26517.64174831433
45.63630978978547,54284.48077135449,0,21148.749175982768
21.5191084877312,46684.764341474314,0,3382.826438092633
37.15245829255853,54877.30910211659,0,8997.664898442172
64.01549977502367,61421.679129687116,1,29515.68004865064
57.2722996223975,56229.12409272565,1,19119.143257039836
34.80883276508837,51919.89129493925,1,9546.590777940062
66.78552390631447,66057.97845293925,0,22625.885064627146
21.983351234626927,38402.08726963833,0,5500.786772559355
67.98420460239382,48373.316583952605,1,32383.12643041603
30.776664809203133,40709.09518126909,1,16707.165249909856
18.4728973757258,27770.947050788316,1,12272.97061343232
40.55801789895299,43607.41344881323,1,15626.125466593136
36.66646234372445,48665.46355703181,0,20154.015494082927
46.03262827075328,56603.6755753428,0,16659.66551113404
59.43218874963196,77520.62188774004,1,22596.00234791937
61.80640171182325,55529.13706687348,0,13943.775516024765
38.86395997980797,57178.236342655495,0,13123.250357406056
40.35197867273021,53235.58958074347,0,8505.72050684636
25.70524197713263,55812.597694964206,0,15866.695373317667
20.472475661820503,45998.52502686651,0,-347.36263507041804
51.34317949222128,45586.77547324747,1,19129.74330410365
21.35075652874,23444.917971457682,0,9665.31082833344
56.15916620991571,61192.2001016329,0,19061.65035269472
46.03268754115687,47731.83379157452,1,15393.306022310482
28.326314867756338,34360.01997437219,0,12402.558504521232
46.05519306265778,40351.819485998116,1,13816.023619201831
27.51588126330914,45367.695607526126,0,9928.02253093039
40.81433479054142,65484.24438840436,1,22970.499256850497
59.5771364445959,55701.84476523753,0,19800.1756629085
42.019803257353146,56912.60473942979,0,10720.026068316269
25.732364551472507,41843.518773560325,1,20318.29737047235
55.639091454793146,44925.72483636264,1,21053.863632022563
27.71195764604046,51204.09225812441,0,14377.77780971629
56.40459346724569,47255.37629334914,1,28651.96135615029
42.92631903922333,51679.42582554732,0,19340.809134272433
41.59457147290368,47382.08158639879,1,23657.769484875833
62.27462196858869,70068.08532995127,0,20425.132575960226
54.847383265714775,46842.18170815052,0,19623.370428510556
19.71136144165684,43764.37979884802,0,9386.693141037751
33.401064359283325,38302.558106154655,0,4463.846343580063
63.28787436419473,56532.88505880951,0,19824.58234124511
18.95296076435033,3124.4781067741424,0,5384.844882239808
46.35317920562246,74097.57531899032,0,19599.040180632623
55.84693479704508,63429.036726784856,0,16872.305756020523
50.336516445197944,47494.78336321733,0,11009.503841542068
57.54767450943069,47527.28037138541,1,24544.793354900816
55.73597614356678,52911.50054298998,1,14871.983846751114
