treatment,Y0,Y1,observed_outcome
1,-1.5981243518837476,0.19703235180150375,0.19703235180150375
1,0.46217266608194285,2.8183337458720237,2.8183337458720237
0,2.0243096232868525,5.165135541556273,2.0243096232868525
1,-1.3631740045928105,0.3280051569403412,0.3280051569403412
0,0.18970616761039566,1.4221860438442158,0.18970616761039566
1,-0.6619821777966091,0.3980128052495091,0.3980128052495091
1,0.42588720619303577,2.7822432206237018,2.7822432206237018
1,0.01914777741575206,1.0775726733864601,1.0775726733864601
0,-0.6414869090443096,1.172353564486729,-0.6414869090443096
0,0.487872284871074,2.7065288783905546,0.487872284871074
1,1.804348109786743,3.8969358782017003,3.8969358782017003
0,-0.19090379172729868,2.0218186403647875,-0.19090379172729868
0,0.7197579421481819,2.830902870048609,0.7197579421481819
0,-1.2932729578711637,1.346159948785533,-1.2932729578711637
1,-0.9564363768180087,0.5674054328125926,0.5674054328125926
1,0.47240627788037737,2.1339087086511115,2.1339087086511115
0,1.484116028535965,3.097786305900553,1.484116028535965
0,0.35561334878566,2.770709254716965,0.35561334878566
0,-0.31305803052315434,2.1371412636743776,-0.31305803052315434
1,-0.0007085945766459172,2.224904065082608,2.224904065082608
1,-1.2504077339697175,1.3413390994752463,1.3413390994752463
0,0.6045153263553668,2.0154948926671765,0.6045153263553668
0,0.8823330623234091,3.7159451180989773,0.8823330623234091
0,-0.45209033283308037,2.3095289780230486,-0.45209033283308037
1,-0.4700421477595015,1.8977688508633719,1.8977688508633719
1,0.2658782296520485,3.1567776840375785,3.1567776840375785
0,-0.4367197360405955,0.7349686601205176,-0.4367197360405955
0,-0.06613261462582246,1.6716433172428515,-0.06613261462582246
0,2.0997217891665154,3.7320700588255398,2.0997217891665154
1,-0.24702570074599667,2.113713961132675,2.113713961132675
0,-0.3583401520212223,1.1165894781777048,-0.3583401520212223
1,-0.6475418056351594,1.7312057690335834,1.7312057690335834
1,0.7441919714999368,3.4294600434982936,3.4294600434982936
0,-0.181224173218103,2.1663772768238965,-0.181224173218103
0,-0.649373038321426,1.4925024735093246,-0.649373038321426
0,1.321304032273012,2.827367361822638,1.321304032273012
1,1.4196030045136372,2.9961775214509547,2.9961775214509547
1,-0.6004235657387051,2.024385886909628,2.024385886909628
1,-1.8665399513606162,0.5231345505920499,0.5231345505920499
1,1.0075136898369221,2.98800393014815,2.98800393014815
