instrument,treatment,outcome
1,1.877355698872046,3.5535473477256145
1,0.4073965515481993,0.9123374299540997
1,0.7725743480851776,3.432853296088348
0,-0.4724402505620077,-0.00787126858385534
1,0.7410434498137157,2.941993768981847
1,0.3098914259311792,-0.4057910156545812
0,0.5234004517456732,2.829603158229143
1,0.7736594295156977,3.044980543547109
0,-0.46769862999114675,-1.5202849240379788
0,0.4202838488958358,-0.7641847678222367
1,0.7898330194357936,3.323094008969898
1,1.1764093886117273,2.937061835851803
1,0.12616868602612563,0.7246718791331579
1,0.8844122061243307,2.7216304790096544
1,1.0866708473223543,4.798407526405342
1,0.4883112548821317,1.3395667786488863
0,-0.6295013634840756,-1.9036176805381746
1,0.679196252314803,3.6162041474230393
0,0.6140576468904643,1.1839506969212044
0,0.5629651653170282,2.5032183473588616
0,-0.2142142173777883,-0.841258375011829
1,0.05845728181177878,-0.827170116569593
1,0.48441013982521364,1.4543914061965135
1,0.4657611746340437,2.0889886375101185
0,0.2232233916523887,2.0233800149336774
1,0.6474992485479392,3.4171917309895
0,-0.376632105868571,-1.4246603918312455
0,0.552131533630334,0.6691453688587884
1,0.7702129337224171,1.9918999015897718
0,0.2177078263654704,-0.5284072742337443
1,-0.16249271706563362,-0.7048643506134059
0,-1.212132435348643,-3.978062589665687
0,-0.7187728907222041,-1.428828468009847
1,0.4597282871966121,-0.8267503183245419
0,0.28817800880690436,0.13092608033407338
0,-1.171123435203649,-4.238888610052863
0,0.7964260321859936,3.576405348966006
1,0.785283013385063,1.242004662754172
1,1.380147496474955,4.367099849073859
1,0.2570149587629356,0.6429164618690256
1,0.9519299670862453,3.8988324280951177
1,0.7425979649853937,2.823625759466728
1,1.1088431565272772,3.447773201402211
1,0.5831043162001415,1.1946460740123561
1,0.9366076045037942,0.9574803104015066
0,0.5510976593856,1.9003786338442052
1,0.3744118530541123,1.6537253576922097
0,0.12112211624482487,-1.2115012637401787
0,-0.9439311186111742,-4.065487520162072
1,1.0512515095316788,3.406084501966712
0,0.9773312717312448,3.2711355014016044
1,0.0777819761256523,-0.7573013817151024
1,0.6543093697860284,1.388863395790047
0,0.4402406504570568,-0.5157668871992562
1,0.7157087367332752,3.5243901140130593
1,0.7825497757466129,1.0477749198713862
0,-0.19549972076181932,-0.04423977103690724
1,0.48592387345604265,1.4228109242147475
1,0.6566529232073105,3.2595523892466907
0,0.020835711069678183,-0.7297469595657219
0,-0.5907206307886549,-1.7109091820255775
0,-0.03301099297301437,-1.7974598881563932
0,0.7842669693546632,0.41427407112423587
0,-0.20956689679445234,-0.032367106517883104
1,0.08137250856268607,-1.5409083133816437
0,-0.07570803399321331,-0.4553416364141708
1,0.34269359393785165,2.0393762297864746
0,-0.6691709126609697,-1.26082788188823
0,0.06958423086631042,-0.4558327953496625
1,0.344858981424461,-0.5539261921347896
1,0.3876429165733625,1.672423611375616
1,0.7767136901926944,3.672397853438264
0,-0.7665872976811673,-2.961999971709125
1,-0.17078482512556248,-1.315667333783804
0,0.3354360972509658,0.4814063288838991
0,-0.9654168003620415,-2.3246416902790092
0,-0.48833884765367735,-0.23649893654611898
1,-0.19991976769421882,-1.839366114463179
0,-0.24306823342441616,-2.2274865095979015
1,0.9140293738255827,5.082084443409196
1,0.7561689743661884,2.0911841352085263
1,1.895936694728642,5.940702879876237
0,0.5434578088945003,0.9384425860658621
0,-0.4655789250783006,-0.9067744657821858
0,-0.5985275024132053,-0.8355216325380934
0,1.3533439704877506,4.359828083036182
1,1.2312860028666812,5.434716085614479
1,0.994684803634786,2.657309820963266
1,0.7374259061078089,1.9493952452880503
1,0.8367607837375085,2.7416887024899412
1,-0.04103663774121313,0.34185173228245763
0,0.07851958509838393,0.4635060173577611
1,0.7356156987295072,0.9224320692334305
0,-0.45206942155074004,-1.0436930984566588
1,0.4307367732157606,0.9180367348438446
1,1.4575881967217779,3.7917875760906883
1,0.6374125398525687,1.9447196743109498
0,1.0355856512665553,2.1452342664704513
1,-0.17033971824369176,-1.6464104786043068
1,0.43893490688712605,-1.2986642393424714
1,-0.07363927562345951,1.5263195016395126
1,0.09528877305408279,0.8415976382652507
0,-0.4141028528296486,-1.3590726797952508
0,0.15765481338529558,-0.19425879673076135
1,0.8334130855401936,-0.37579302542583637
1,0.36035484018619723,0.3525356443371075
1,-0.413899778668291,-0.5258329988407967
0,0.7388464365160764,3.158713613142098
0,-0.14288235801817809,0.2136449195487673
0,-0.5581450851505696,-1.5160432996992403
0,0.13746539053504364,1.71627031753651
