unit_id,time,treatment,outcome
0,0,0,6.125289774298553
0,1,0,3.6607247861838226
0,2,0,8.445298965121207
0,3,0,5.613860066985903
0,4,0,8.429961186789678
0,5,0,7.430815380267167
0,6,0,7.181333262799869
0,7,0,8.765114005381411
1,0,0,6.029125444956369
1,1,0,3.9472951992552376
1,2,0,6.70158884928701
1,3,0,6.487821501342911
1,4,0,7.577044082566334
1,5,0,7.51097535733898
1,6,0,7.4281311612453464
1,7,0,7.386876748628121
2,0,0,5.672645112047025
2,1,0,6.167271992198835
2,2,0,6.662272247690808
2,3,0,6.927596319440573
2,4,0,7.94469887183947
2,5,0,8.906069279769643
2,6,0,6.123582152593482
2,7,0,6.158202556130911
3,0,0,6.717947359879645
3,1,0,4.158953485414811
3,2,0,4.913756713210381
3,3,0,6.212385688125075
3,4,0,5.346028421286897
3,5,0,7.118413302692362
3,6,0,7.051894655877335
3,7,0,8.266659130302992
4,0,0,5.279841304907102
4,1,0,5.1564617745704355
4,2,0,5.605952714602853
4,3,0,6.757995796791646
4,4,0,8.044291797949947
4,5,0,9.102964346921667
4,6,0,7.781461745997785
4,7,0,10.324889151923237
5,0,0,5.876706834761246
5,1,0,4.267991546026824
5,2,0,4.738791744386325
5,3,0,5.92271214939733
5,4,0,8.444603983359727
5,5,0,6.9986326844344635
5,6,0,6.107643175493727
5,7,0,8.271115791112289
6,0,0,3.0194280324395932
6,1,0,4.445014353063128
6,2,0,5.412971593707414
6,3,0,6.649668910924691
6,4,0,8.024162326606879
6,5,0,8.194135943371764
6,6,0,6.820675201552515
6,7,0,8.128287737834347
7,0,0,5.076375588702566
7,1,0,5.237792875553501
7,2,0,5.730704774131706
7,3,0,4.777256675345728
7,4,0,5.84726584886036
7,5,0,7.0970601508607265
7,6,0,4.906774325054838
7,7,0,9.140644320009855
8,0,0,3.6273209002889306
8,1,0,6.186838133265137
8,2,0,6.59891600447091
8,3,0,5.956306956887616
8,4,0,8.000548325701537
8,5,0,8.243197344924933
8,6,0,7.691038529165359
8,7,0,8.078240384808302
9,0,0,6.097232785664357
9,1,0,5.7320138394076645
9,2,0,7.044697168368142
9,3,0,4.111025925647263
9,4,0,7.098485097019462
9,5,0,5.922590913030627
9,6,0,7.974211492513237
9,7,0,9.213820208345885
10,0,0,6.7391401457491025
10,1,0,4.561833271562814
10,2,0,5.474295194698017
10,3,0,6.404467092924462
10,4,0,6.02546889853811
10,5,0,8.478559728789257
10,6,0,7.929905454634376
10,7,0,8.621957023376046
11,0,0,5.620173126774159
11,1,0,5.42828848362459
11,2,0,5.1824608718241345
11,3,0,6.436979761701533
11,4,0,6.143818640486611
11,5,0,7.607980889116487
11,6,0,8.996937720801796
11,7,0,7.325021707727668
12,0,0,3.467628998557908
12,1,0,5.549249935919674
12,2,0,5.232200383256094
12,3,0,6.531745274411969
12,4,0,7.320403520609701
12,5,0,5.356313771071461
12,6,0,8.689849427658542
12,7,0,7.330331497044751
13,0,0,4.97765204943531
13,1,0,4.84061766456157
13,2,0,5.4480429852157055
13,3,0,8.193957939617988
13,4,0,7.319267520795661
13,5,0,8.40468840295359
13,6,0,8.150941354202743
13,7,0,9.120013574654953
14,0,0,5.417378362143452
14,1,0,5.754456144686825
14,2,0,7.10715590916468
14,3,0,6.65650545384427
14,4,0,9.285148572217706
14,5,0,8.460531572812437
14,6,0,6.86045930226031
14,7,0,8.323450291017018
15,0,0,5.397077599490668
15,1,0,5.544496835712037
15,2,0,6.6868734189721675
15,3,0,7.297016704833873
15,4,0,5.640413014201036
15,5,0,8.781077544716494
15,6,0,7.503182534513956
15,7,0,7.904095494135243
16,0,0,4.4008776072944595
16,1,0,6.308576405990583
16,2,0,5.732932301852214
16,3,0,5.836448355662292
16,4,0,6.576040842556463
16,5,0,5.705308341084123
16,6,0,7.157836236048513
16,7,0,7.2604164513469005
17,0,0,4.730830669504109
17,1,0,6.164193270273593
17,2,0,6.553875900933227
17,3,0,7.756750497546583
17,4,0,8.033975817296621
17,5,0,6.971403285081623
17,6,0,8.019071400753713
17,7,0,8.467443905778582
18,0,0,2.848947317278113
18,1,0,4.2827404630902555
18,2,0,5.832713322848887
18,3,0,6.327103564859192
18,4,0,7.512325054205167
18,5,0,7.963641629535848
18,6,0,6.2293074979002645
18,7,0,9.01859673445753
19,0,0,5.178587206453764
19,1,0,6.123373181644629
19,2,0,7.06686558764159
19,3,0,6.357117027212028
19,4,0,8.24558823698008
19,5,0,6.610599546106953
19,6,0,7.054261879627782
19,7,0,8.928772190135541
20,0,0,4.63123245469482
20,1,0,5.76163256461897
20,2,0,7.992982119844491
20,3,0,6.893495073503976
20,4,0,7.21216953886412
20,5,0,6.630779621348153
20,6,0,6.300020193375653
20,7,0,8.427453384726489
21,0,0,6.066870246608197
21,1,0,5.177061992939326
21,2,0,6.401462499205369
21,3,0,7.926497272718582
21,4,0,8.40151631323036
21,5,0,7.9288158876017825
21,6,0,8.170106478657344
21,7,0,6.981366950996924
22,0,0,4.369805355823059
22,1,0,5.219244191981927
22,2,0,5.147668388565847
22,3,0,6.748453262952764
22,4,0,8.9116481834861
22,5,0,9.017761592661616
22,6,0,8.243879861831207
22,7,0,9.279434072024829
23,0,0,4.271395684643881
23,1,0,6.964089350668802
23,2,0,4.43803340405482
23,3,0,7.412828161086162
