treatment,outcome,prior_mean
0,-2.2821203741757694,0.22599382059655773
1,2.0928604418236114,0.7714597829921004
1,2.954644578547429,0.19298944892159953
0,0.38689730875197265,0.4892333384254864
0,-0.1766782862350305,-0.2629361661489567
0,-0.34221818607282173,0.5489254549849908
0,-1.9996228847982345,-0.20973419606738739
0,0.08577075622153388,0.12007963562309974
1,2.1613772239210376,-0.1830805476894069
1,2.7492498820434594,0.4445780868384469
1,2.9912892740202905,0.45138099464257003
0,1.241068372044641,-0.7383905400715846
0,-0.9555651013138681,0.6626489171110899
1,1.206017845484285,1.1882045963795969
1,1.9260332688755994,-0.1776663415156451
1,1.7644067549436928,-0.06340078583161114
0,-0.8254095747162776,0.6197148971200764
1,3.9449064408682526,0.03338372765285786
0,0.1484158715382944,-0.0019871550165472523
0,1.9723934626280817,0.9484843669437064
1,2.496929576975237,-0.6771485807040135
1,1.3281235509340388,-0.39448156506686444
0,-0.8081745841977698,0.2089114967779291
1,3.524455347043958,-0.8097722969378502
1,1.3661482630394763,-0.1865045917015318
1,3.0578766442638785,-0.19108281503761332
0,-0.35675252915266065,0.4808869101111577
0,-0.9298255726647608,0.3464265172509596
1,3.886519732148224,-0.841613624414661
1,1.91143396367998,-0.3465616708422747
0,-0.8275710246003674,-0.3450281420468004
0,-0.07889307955282317,-0.10828793837517038
0,-0.5082376928418649,-0.5487735948046736
0,2.2149859005998684,0.225823970985833
1,3.5603572933755796,-0.3470935346518719
0,-0.590692422455163,0.2943109680018615
1,2.0246628887415685,-0.0014271219158483615
0,-2.0194482750677385,-0.4865375695051947
0,0.1374036510914447,0.6941386513727483
1,1.7529406570611932,0.7088633171415215
1,2.5880113821599338,0.14517265760488982
1,0.5337259050957697,-0.11960310642200886
1,2.473243664011058,-0.52814640668739
0,1.6986713062334942,0.5355566849362154
1,2.554141161232327,0.4113197675115662
0,-0.774682187050541,-0.40699797250651254
1,2.4795332750901746,-0.343406366840408
1,2.4357512638139136,0.22846023208785626
0,2.191833140756291,-0.5877218736755836
1,2.1671580707793137,-0.31284321187469566
1,1.296706696777143,-0.5202828324863158
0,0.021458174227438107,-0.504167004817176
0,0.1955332378392989,-0.3600322470988507
1,3.062295966354156,0.4530020772527713
1,3.2557618502313863,-0.8772732401701852
1,4.455526085509796,0.21674213998948555
0,-0.5956637016725386,0.1289736664050988
0,-0.6865497441781847,0.4841718820424652
0,-1.854136477154648,0.12852449356524961
1,3.161653766715723,-0.18941966233306656
0,-0.8873143654391439,-0.4076548627199325
1,3.3917642799146197,0.4952058369547257
0,-0.49163491358584543,0.2484740421276464
1,4.2259579717603675,-0.2465678294081074
0,-1.4335068889800686,0.4544558620833303
0,1.0229255033526947,-0.2229391076030569
1,3.4038425628127866,-0.00047093274699794687
1,3.026576438464219,-0.30224185427231515
1,1.3827363010124603,0.2669209522001142
0,0.5311508203085539,-0.49709567509494
0,0.12687474079670522,-0.1492943440330757
1,0.6697437895873346,-0.3272768916255574
1,4.058272989734663,0.13185598083100836
1,2.1543885840830086,0.1942439591205164
0,1.4812176960243855,-0.5520804635458377
1,2.4323385498980166,0.2032156944123726
0,0.9823260632987385,-0.7383616918455179
0,-0.8595251117402819,1.0959865857194804
0,0.21443495432848378,-0.2557365346400494
0,0.14394199312767722,0.5246303324844712
0,-0.323601027392633,0.10058319628291666
0,-0.869222813914667,0.12089775050958537
0,-3.0668007308394327,-0.5830369629231287
1,1.6542405915064147,0.42172042954081895
1,3.200509113575733,0.02432356595719991
0,-1.3952295488901634,0.2350698443421951
0,-1.1881336398286189,-0.04535716142255878
0,-1.4348628083647066,0.0650215314583125
0,0.20888811631055626,-0.4435857971158842
0,-0.893406585093258,-0.07644553841536186
0,1.2203429772001366,-0.20994460415967256
1,3.2346197071192746,-0.35278559887805727
1,2.700124063950963,0.0672628698474566
1,2.803949666575853,0.18169347790925783
1,1.737051927350298,0.12538600486492327
0,-0.7626926259947432,-0.051130397418232824
1,3.2110265465820134,0.2055545275151275
1,3.4133920236370416,0.1210821059908876
0,0.7022623719135461,0.048763602247489365
1,2.0294173435766014,0.08307550998447903
1,2.1086779224797163,0.591501494883968
1,1.5682432181949708,-0.6025367807013251
0,0.7682538372578852,-0.15929808490894654
1,0.5385444379596993,0.16908730431143612
1,0.2957636951429641,-0.791367951241333
0,-2.0048593724508446,0.6912922416630353
0,-2.1426892826943296,0.1274089378622407
0,1.3571409014981453,0.4784508822118702
0,0.7868053635702738,0.5598809392774415
