treatment,outcome,latent,selected
0,0.12102932096565022,-0.541473006507169,1
0,-0.5881737820353556,-0.10200628012726169,1
1,1.6997325191990664,0.67101780491777,1
1,4.247804907609024,1.067997778058972,1
1,4.073465274534518,0.9389694687047921,1
1,2.0303489653832947,-0.06387783283134668,1
0,-1.8892667752194274,-1.2540226524285165,0
0,-0.5173231092986217,-0.9989363762455913,1
0,0.2186416713131092,0.2726335143194143,1
1,2.28573501787104,0.34222557942434556,1
0,-0.6514499518818204,-1.098679373434385,1
1,2.211756984325921,0.04456961088927163,1
1,2.0383169014643108,0.631224356971783,1
0,-1.313597625048131,-1.151226657507144,0
1,3.4355736661350877,1.1049972018044145,1
0,-0.122405037357316,-0.37753114855982517,1
1,3.388621399755889,1.257613112576651,1
0,-0.06674096853796851,-0.5334524457759005,1
0,-1.2074839767928114,-1.026625482884179,0
0,-0.36880210223218357,-0.4581369898417196,1
0,-1.7829376731661202,-0.09514812307732015,0
0,-0.6133050036928879,-0.3884799067714809,1
1,2.1659500327147088,-0.21600142157311336,1
1,2.1387679161176187,0.33396514967619034,1
0,-0.40429306565495543,-0.17117936979639942,1
1,1.4131611301605838,-0.06611239395200703,1
0,-1.2075434528380233,-1.709226399202596,0
1,2.665929652780758,0.3916980160104727,1
0,0.3235040012198745,-0.08920329769166797,1
1,2.7471859995039263,1.610292980482871,1
0,-1.019790188886775,-0.939565167253958,0
0,-1.9483508323745171,-1.808295328499514,0
1,2.4777826406307657,0.6180684939300418,1
1,2.0385132464540225,0.3465270183130003,1
0,-1.1814851564211535,-1.0084330205311458,0
0,-1.1049265636507655,-1.5297489550040915,0
1,2.5809710540103756,1.53739673068429,1
1,4.302757774622008,1.4141103906067818,1
0,-2.245536196192899,-2.4874567587061294,0
0,-0.4793889770866073,-0.45822302925650094,1
1,4.117609127970362,1.6641920547838993,1
0,-1.2019799303620844,-0.47606255777786693,0
0,-0.8229626866021597,-0.49061223402665266,1
0,-0.34329704382464526,-0.28275932762936834,1
0,-0.4381167885520706,-1.1208969737681593,1
0,-1.7280240347913232,-1.7047757442280442,0
1,3.277574646327322,1.0525473107347487,1
0,-2.1377264042157393,-1.8429369062476757,0
1,2.490692486592501,0.2472714521087559,1
1,3.7251992892448778,0.8865794927576496,1
0,-0.9534629530641013,-1.4512262989011584,0
0,-0.9649963964840113,-0.9242684025950716,0
1,3.5509246120243247,1.21317918839159,1
1,2.821650197530646,0.5328917202270399,1
0,-0.3639918710302493,-0.6172857068788872,1
1,3.7582256837913754,1.202249003361171,1
1,3.7587745753730357,1.2065357234543024,1
0,0.20547339457826497,0.2690526930157071,1
0,-0.5792206971347786,-0.9001602278736632,1
0,-0.6049961640516923,-0.41344870347179546,1
1,1.8248505457976012,0.28638674395539016,1
0,-0.32334170699948145,-0.18859482914748824,1
1,2.9008181023650597,0.9389571782348514,1
0,-2.360564574698332,-1.5297740801093362,0
0,-1.0640972493578786,-1.4942635290662387,0
1,0.7972084001812334,0.18087111148243243,1
0,0.8658640559362563,-0.49154441380690456,1
0,0.12389095220041857,-0.6270486146977409,1
0,-1.898561081260554,-1.7680567191743972,0
0,0.024259025080068376,0.019545844798181757,1
1,2.098730828792876,-0.05275510800076566,1
1,2.3588987879572696,0.6534789819517407,1
0,0.16521570691444026,0.0689061331209721,1
0,-0.20460406709132728,-0.13260407824049675,1
1,3.1298642781748542,1.1770006367903372,1
0,-1.2217367717082306,-1.31246730344855,0
1,1.8796253196705792,0.5363892188475762,1
0,-1.6513623027285247,-1.6711471647953489,0
0,-0.756638006692069,-0.8383618800008077,1
0,-1.1482323219453565,-1.2126571326233138,0
1,2.6740271577338413,0.7819425354519183,1
0,0.5035186543892919,-0.06541023359539401,1
0,-0.1903295220337522,-0.013503244592976752,1
0,-0.9930700343178559,-1.106732987729451,0
1,2.3489552710298836,-0.2996934959328892,1
0,-0.8031533733192678,-0.7634653033091117,1
0,0.49068664858799166,0.383455014854216,1
0,-1.0392834534890623,-0.9910911353316136,0
1,3.948479261986875,1.3297943652050759,1
0,-1.8044427304172421,-1.6755804496240945,0
0,-0.16484254381245855,-0.8065198324565613,1
1,3.6254065626425636,1.6772005099660963,1
0,-0.8648686096860427,-0.4351387479620344,1
0,-0.9751920791173514,-1.314878664404412,0
1,2.0667376456598405,0.21907156253766866,1
0,-0.16514179266496093,-0.47539224221454224,1
0,-2.2005724480801727,-0.8358702556183056,0
0,-1.093268179851244,-1.0958708107987172,0
1,4.538570956247202,2.768373605625943,1
0,-0.7831812434497754,-0.25155190018413637,1
0,-2.202187861252777,-1.9255673603328771,0
1,3.206858186859208,1.4937097590055342,1
1,2.58707800768528,0.6110709051105708,1
0,-1.4501296616622659,-0.7664664310197878,0
0,-0.7749821985562848,-0.9331190886861417,1
1,3.3565801887611246,0.6734727961582307,1
0,-0.10645407901554146,-0.24691832748945464,1
0,-1.5214835138305969,-1.9259778184451013,0
1,4.334521191911566,1.7872399646046684,1
0,0.1842542938761314,-0.433990462215957,1
1,4.430641082893079,1.4955717364824264,1
1,3.0288339588277498,1.278434957965715,1
0,-1.3602515370633723,-1.0010095444828142,0
1,3.4249226885255153,1.0331898643631479,1
0,-0.29730944003498133,-0.6514425498636812,1
0,-1.4788629369960973,-1.866700586803942,0
0,0.5200430611029835,-0.4245981660221425,1
1,2.403322456175526,0.397637501776279,1
0,-0.2496583681732452,-0.4627366479963376,1
1,1.2027575333331613,-0.3070483409251013,1
1,4.211226606916592,1.143566044928613,1
1,1.9382215196855361,0.10649398029009184,1
0,-0.9974062753653674,-0.8432983112849525,0
1,2.5286553781632053,0.7020303236673265,1
1,1.8752276376320762,0.19767556695424515,1
0,-2.8863233258858676,-2.521604801462043,0
1,2.166500772326686,0.4283529137714487,1
1,1.7089307436906291,0.3918287077161016,1
0,-0.3725378305507592,0.020121129580859987,1
1,3.866182136793385,0.8917005810695752,1
