treatment,outcome,confounder
0,0.34175597577715944,0.5839281853259639
1,4.376170839215886,-0.35929209078705954
1,3.45042383818605,0.5906548306923093
1,1.9230963443375968,1.1087035805829077
0,-0.898414671348358,0.8204821811973643
0,0.4919191715065057,0.5072740311072979
0,-1.3202332070206422,1.066674689589154
1,4.331458765854354,1.1692955904456728
1,3.679440120721287,1.3821589910375272
1,2.030824347895295,0.6487098875896427
0,-1.713134529090878,-0.16711808031685435
1,3.8538723741654133,0.14671368643332283
1,2.385460154747382,1.2065089665083568
0,1.2378163119734618,-0.8169356709872361
0,-1.594427658794367,0.3686733088729012
0,-0.5993750229537729,-0.3933388123273607
0,0.005243699718183166,0.028744822934817487
1,2.546980593764742,1.2784518626072987
0,-0.45006547147924364,0.19109906801990334
0,0.6228499323474987,0.04643654815614881
1,1.4323795706174056,-1.3598561409799192
0,-0.1423794850212935,0.7462535660272207
0,0.12029563171189886,0.6454841811410754
0,0.514438834058749,2.16325472330546
0,0.7116148780888896,-0.30777823495300055
1,1.375357908162131,0.21915032766393877
0,-1.5341141707356223,0.24938368371075526
1,3.777676821898509,1.5774532797634744
1,2.8323140119795918,-0.0952955323869521
0,-0.7484865365565536,0.27902152577033923
1,4.051151975522523,0.6078965097165392
0,0.11567463429285867,0.1866091231563581
0,1.1792971840638264,-0.44643361455052827
1,2.567518481410109,0.19408999289830758
1,4.560747924881987,1.073631749859772
1,4.255340842443204,-1.0265152994110602
0,-0.2489641484790735,0.132969674146876
0,0.9715709509543554,-0.7001208149391732
1,3.1453759495851474,1.1950466289248425
0,1.3686315575323487,-1.5231869047837747
0,-0.9649234605801045,-0.5589218472715883
0,0.6860514599984393,0.37721187506452086
0,1.0584244868495878,1.5655240292343404
1,0.7412605135768857,-0.0657502610729878
0,-1.183258512665775,-0.5551995266931983
1,0.4607678222398994,1.88115706944059
0,-0.26940683444455765,-1.448013900416244
1,3.217542255795962,-2.198805956620082
1,4.002357052096028,0.4400144500533324
0,0.07409478041977519,-0.5020542243526112
1,4.128615545571292,-1.0212328171307132
1,1.1198985417851086,0.7083564472993533
1,0.7966175606448453,0.24380071377119883
1,2.4444523011033814,-0.5640786307367284
1,2.884065448939307,-1.2803043986708944
1,2.467305251905907,0.8724573282801447
0,-2.0674421000398766,0.650201177958661
0,-0.08912003951278841,-0.09917586377938291
0,-1.3044695005048532,1.8466369960476658
0,0.6696725488300385,-1.0700847663261526
0,0.36659824609684827,-1.5255251709247388
0,-0.9398797863273552,-0.6919080698812444
1,1.9861330826633066,-0.045586016355497805
0,-1.0592135218889516,0.24333944932269183
0,-0.06267909727317188,-0.24123605785632987
1,3.4551423205012384,0.3520553965142968
0,-0.9857260463355437,-1.2515394241904443
1,3.004046515517844,1.4437646040732597
0,-0.5302576183724408,-0.08215117839256883
1,1.7071271677376558,1.1172958315881278
1,2.3929696400454423,0.34272534637770413
0,-1.035242322419374,0.4567532191537839
0,-0.553649305347182,0.5697672802322037
1,1.3021221074111515,0.4477085600173148
1,4.4647251329163895,0.6427227598675439
1,2.535263551971729,1.3291525301324314
1,1.8002744920074147,0.19652116970147013
0,0.21397991073422196,0.7090037575885123
0,-0.11232804969082963,-0.08973569428722672
0,-0.2209695995332226,1.4401172154494728
1,3.114166700043425,-0.6763923020592697
1,3.257507710047305,1.8009404329108156
0,-0.5305011476105275,-0.04015795064434341
0,-0.57581824064468,-1.4307751021180481
0,-0.275051697151644,0.12810441491078928
0,-2.301921164735585,-0.6810516574748808
1,0.984808937801448,0.8406435489887243
1,3.8668742674445244,-0.6526239793023911
1,4.144967713501284,-0.4461834332147797
0,-0.24903603955637832,-1.889540730945531
0,0.5765569630557664,-0.4523063192490767
1,2.811250154543536,-2.4238793266289567
1,5.578880808455238,-1.5839028234857233
1,3.6195749114345768,0.7604146561442974
1,2.3720824085192334,0.7858001586508322
0,-0.9555404406004258,0.42545756178496474
1,0.8935536797424275,-0.966976143129213
0,0.2034636358672231,-0.047711356141979855
0,-0.7563507452843033,-0.003602539090568403
0,-1.4222537095976742,-1.1583646891925423
0,-0.6465728842425267,1.5033983017671506
1,1.4184519963856048,0.8773622905756714
0,1.6871416350725648,-0.22096417382966393
1,3.3816397569494505,0.02688583899453078
1,2.4920273586833828,0.20838280794755248
0,1.4799441388900263,-2.0417348684242906
0,0.0773683076476183,-0.24717738252059693
1,1.6387157986717362,-0.6819842479977986
0,1.5231240772696573,-1.0016200098949155
0,0.5389100436846587,-0.2811002928859549
0,-1.0372461543264564,1.7976865268495226
0,-0.1903386780836082,0.6408428612670098
1,1.6243817466152426,-0.5711789897827968
1,1.1172002690356637,0.5725827813561586
1,3.4261775475316414,1.3993554365860021
1,4.4094166404701305,0.9246336829127688
1,1.1014324261808588,0.05963036992017413
0,0.5629692366905709,-0.6469367777055739
1,1.8493574308781728,0.69822331361359
1,2.0128746162353037,0.3934853854217497
1,1.9076060757611308,0.8951932200277323
1,1.6360092303201839,0.6351718016819695
0,0.04852162794482699,1.0495527153193351
0,-0.8309501164110378,-0.535235211560568
0,0.2704568257798388,1.3173940656343257
0,-0.05023810944913695,0.19759960469239965
1,2.2610519531335904,2.0752608726252655
1,1.5924363379584021,-0.6891878180895679
0,-0.5767713305683327,1.7359638031652493
1,3.255391225825756,0.1979107834626478
0,0.5009171876243808,-0.6514180036144483
0,-0.977555244798551,-0.48388583405432156
0,0.09933230542922587,-0.32034730819432017
0,0.751387123371789,0.4241659464019164
1,0.8305947188786282,0.5228354880354996
0,0.543360192379935,-0.573700003938579
1,1.8373762410541534,-0.02435459226098284
1,3.0705986685931594,2.1422703586118637
0,-0.7632591565425169,1.7275431701007113
1,0.695117899335481,0.4363236696740321
1,0.8724575621168373,0.03800347816820029
0,0.048084946661381994,0.1200313267182613
0,0.25972250172148187,0.6135179727304166
0,-0.9043166251044086,-1.0227925651984056
0,0.6385924587773739,-0.25737653742334515
0,-1.6615200622689599,-1.66858407387759
1,2.4339202013526835,0.39922312260527926
1,1.2889838002375436,0.647195939702741
0,-0.6518361078021592,-0.4831864622993739
0,0.047398671316414016,1.5739867632900326
1,1.6395866347160477,-1.225765663002341
0,-0.38455554422982535,-1.46437488020982
0,1.0062928092144405,0.22445181855997198
0,-0.5768918695231487,1.0470983026121545
1,3.335692112065142,1.6839276914578687
0,-1.129706854657618,-0.45888426286894
1,3.029804177915283,1.0786808334312956
1,3.9415686206579004,-0.03850846950070721
0,-2.4716445001272893,-0.17262729994081963
1,1.703104744529523,0.8836599374866724
0,0.57707212718054,0.6523228784134196
1,2.2969546139570074,-1.5763921569842494
