treatment,outcome,sensitivity_parameter
0,0.24467203434693838,0.2840533315454805
1,1.4882258115037628,0.037203800745099214
0,-1.3937595359168644,0.37220204191255596
1,1.9373176570515747,0.3475962224077949
1,3.091813533654456,0.401189814648441
0,2.2662282864197185,0.4422379790082768
0,0.24215240732251034,0.3790141336477093
0,-0.7091465899615224,0.4222449450636469
0,-0.7695025565184669,0.17282729948086228
0,0.9631323620651993,0.17166868100746985
1,1.003125880847108,0.47215040994990815
1,2.6224273795277626,0.4572872681631024
1,2.2936811899596177,0.27424867055261126
1,2.183101391882879,0.18327939263632292
0,-1.5681185898807923,0.43300076512940017
0,-0.35695820222632485,0.1617055662136831
0,-1.4581577913576127,0.07681754144722219
0,-0.5882474013167657,0.31974633750274
0,0.9171386615205124,0.02131090486648346
0,1.231057903355565,0.189550953083244
1,2.2139486494908853,0.403831907847311
1,1.4296594875660147,0.14760809784641737
0,1.5880993323604182,0.46565773953676665
1,1.41640936624382,0.47791233330831867
1,0.8643135081909956,0.40790815038255945
0,0.6964829679167834,0.49382165949603135
0,0.4577340425697065,0.2653820557557188
1,1.4574240890741594,0.2845997760694858
1,2.1002252295695674,0.4180834076352392
1,2.442159988851773,0.2464026278940452
0,0.20367884105181633,0.20336000341653476
0,0.4589389549645806,0.3073767955872695
0,-0.5057148615599742,0.328829755424441
1,2.526245044239599,0.37544791084808316
0,0.01755783758328192,0.3341003486300427
0,-0.47181052153635317,0.37286089763166425
1,1.7541152377667253,0.3372798354443762
0,-0.0979018359244179,0.24022261925008942
0,-1.4453783370612792,0.06746729216823516
1,1.3633407534300717,0.3927216144676292
0,0.0649055155927859,0.015389575693841528
0,-1.3509910353888523,0.4962500458806698
0,-0.6199236618145806,0.4142292449698399
1,4.384644978371872,0.3354553039906525
0,-1.1292583648211942,0.48330338592722666
0,-0.3838139126504294,0.30623514072810465
1,1.1662827214712688,0.028216440372174023
0,-0.1168700039533368,0.27969108700726003
0,-0.8149183431349799,0.1386020928284714
1,1.7567568767075672,0.1847387639922184
0,-0.718547035149893,0.22979257792501445
0,1.0551278163698248,0.38730037319439176
1,2.081637037719547,0.2514646071854781
1,0.9970273430367795,0.2373401454125394
1,2.840796523832693,0.15098606887092303
