gender,treatment,outcome,protected
1,0,-1.024849693318596,1
0,0,0.8875838530329283,0
1,0,-0.9518016441052626,1
0,0,-0.14454551667858376,0
0,0,-0.34683356865903003,0
0,1,1.476056699639365,0
0,1,1.7726894131653925,0
0,1,1.5813875863749123,0
0,0,1.5851320514913652,0
1,1,2.4416180739176587,1
1,0,0.08928762235488337,1
1,0,-0.41468096296332047,1
0,1,0.7454253080386495,0
0,0,-0.6279032469610764,0
0,1,1.9769757079334467,0
0,1,1.9380761173420797,0
0,1,2.1515802671528177,0
1,0,1.462533536128318,1
1,1,1.5516471053199101,1
0,0,1.4100874710566915,0
0,1,1.7968878998659097,0
0,1,2.1993993201257878,0
0,1,1.900411391998442,0
1,1,3.328003679170098,1
0,0,-0.8403496098077666,0
1,1,2.7964049333231022,1
0,0,1.7435700951485464,0
0,0,-0.10368139532273073,0
0,1,-0.8944676980770847,0
0,0,-1.1222532889691956,0
1,1,1.5685208881554558,1
1,0,0.3969891744187447,1
0,1,3.316564229332527,0
1,1,1.8983163328138235,1
0,1,1.5594220022270617,0
1,1,2.665945062115291,1
1,1,1.8359401972756884,1
0,0,0.02615230612927662,0
1,1,1.516148371114512,1
1,1,3.636625304576219,1
1,0,0.1891759073659557,1
1,0,1.1782609038851373,1
0,1,2.373820216739352,0
1,0,1.1203323272808219,1
1,0,0.8508948135810659,1
0,0,0.8436655355313658,0
1,0,0.46499686060175116,1
1,1,0.4750581483504459,1
1,1,0.4426796310522403,1
1,1,0.974636876191525,1
0,0,1.1765712503296064,0
1,1,2.6504754589567634,1
1,1,1.6692519499955893,1
0,1,3.4586863016039144,0
0,1,3.0088595911784832,0
1,1,2.527942332575197,1
0,0,0.717735745635137,0
1,1,2.5951107041455215,1
1,0,-1.229128263403179,1
0,1,2.049850868091166,0
0,0,0.545463881582995,0
1,1,1.9688092769526395,1
0,0,-0.7127210246154795,0
1,0,-1.7175639296578558,1
0,0,-0.8130101791054113,0
1,1,2.9255699575704632,1
1,0,0.5610803561719221,1
0,0,-1.5838732371732602,0
1,1,2.755065045753986,1
0,1,0.6909838131272235,0
1,1,1.8100751135813504,1
0,0,0.8142450472979192,0
0,0,-0.3244208140509059,0
0,0,-1.3907924134286027,0
0,0,-2.6139598933429737,0
1,1,1.0542551912638916,1
0,1,1.5665356500798384,0
0,1,2.3976497836627737,0
0,0,-0.6003142145382545,0
0,0,-0.5152817297438115,0
0,0,-0.5170068776054303,0
1,0,-0.7115830595722916,1
1,1,3.8517476093076963,1
0,1,2.252585146719275,0
0,0,-0.947951390757856,0
0,0,-2.1100932541017334,0
0,1,2.1254453260306643,0
0,0,1.4544661026370158,0
0,1,2.5115436063228747,0
1,1,4.55515398593641,1
1,0,-0.5769217086710811,1
0,0,0.528082550873167,0
0,0,-1.5004687230173552,0
0,0,-1.762570373013665,0
0,1,1.8182925346057965,0
0,0,1.164955642273881,0
1,1,3.682907123645771,1
0,1,2.0558514109722874,0
0,0,-0.9044729196240617,0
1,1,-0.2033003651477947,1
1,0,-0.6029823106583446,1
1,0,-0.05486616789938987,1
0,1,1.4126898206064022,0
1,1,0.19390602191416217,1
1,0,-0.010959150546805243,1
0,0,-0.3611788881744557,0
1,1,2.444121481346955,1
1,1,1.1683405922989196,1
1,1,1.6076018939340075,1
0,1,1.9942416410253583,0
0,1,2.345693842925238,0
0,1,1.4953243609128826,0
1,1,1.2050576133056676,1
1,1,0.869609989505854,1
1,0,0.049182424619705865,1
0,0,-0.4162516370717835,0
0,1,3.663779009815384,0
0,1,1.7761598494152881,0
1,0,0.10502498314571317,1
1,1,2.8930744983992005,1
0,0,1.0168126270488116,0
1,1,1.5210846549557369,1
1,1,3.8467957441433214,1
1,0,2.096183629630698,1
0,1,1.6288471735241494,0
1,0,-0.03054618857495903,1
1,1,2.2809025631416393,1
0,0,-0.8072577640044937,0
0,1,1.9059020550811812,0
1,1,0.972958576787722,1
0,0,-0.1026373318627395,0
0,1,1.8055480281660001,0
0,1,2.3372304796860415,0
0,0,0.4896705175370479,0
0,1,1.9143267675585187,0
0,1,3.2564941818223385,0
1,1,1.0215082891317242,1
1,1,1.5804361841712757,1
1,1,1.2658616537451546,1
1,0,1.4827061052582549,1
1,0,-0.2174139092430538,1
1,0,-0.20537683468146817,1
1,0,1.2812766647799367,1
1,0,-1.5481032804698143,1
1,0,-1.046199780198306,1
1,0,-0.1477533456106154,1
0,0,-0.5820094218898412,0
0,1,2.8640872112275497,0
0,0,-1.4371509725178557,0
0,0,0.5802482439292078,0
1,0,-1.0035104564469433,1
1,1,2.2573935555935494,1
0,1,2.8799397581551553,0
0,1,3.870186672010769,0
0,0,-1.5027023333185296,0
1,0,0.10247570276666869,1
1,1,2.9518376103542625,1
0,1,2.0698917258100877,0
1,1,2.380811579976063,1
1,0,-0.7004664452962964,1
0,0,-0.32530188308360364,0
0,0,-0.7764181127645359,0
0,1,2.6068224380380087,0
0,1,3.8520785062032075,0
1,1,2.1572067547360447,1
0,1,2.060480770239479,0
1,1,-0.1393710072112584,1
0,0,-0.06957986241897118,0
0,0,0.5675500343075949,0
0,1,0.3472899631186215,0
1,1,2.162070098934744,1
1,1,1.9847865113281944,1
1,0,-2.0080327406492695,1
0,1,2.417717228098111,0
1,1,1.5758693063006424,1
0,1,2.126377806942391,0
0,1,2.3187685554447195,0
0,1,1.2419237261489853,0
0,0,0.34434671393363814,0
0,1,1.4921857164398928,0
0,1,2.138830809089951,0
0,1,1.352211123794609,0
1,1,3.0799086732656145,1
1,0,0.6893709040128826,1
0,0,-0.3426539555564563,0
1,1,2.703869940038387,1
0,0,-0.41683800215632183,0
0,0,0.21789298976295332,0
1,1,1.1521485918451866,1
0,0,0.9641207306079268,0
0,0,-0.12081665408719472,0
