unit_id,time,treated,post,outcome
0,0,0,0,9.25022412496819
0,1,0,0,12.114543462301302
0,2,0,0,11.172126309589382
0,3,0,0,10.401498150546209
0,4,0,0,10.560843285976421
0,5,0,1,9.082793303664975
0,6,0,1,9.734771247775297
0,7,0,1,11.44139911032176
0,8,0,1,9.385470660826467
0,9,0,1,11.0611317569488
1,0,0,0,8.622959810562941
1,1,0,0,8.80184158752499
1,2,0,0,11.901384665586317
1,3,0,0,9.988162853759675
1,4,0,0,9.461500113005659
1,5,0,1,11.362740826998962
1,6,0,1,11.245821554963504
1,7,0,1,10.920754565257239
1,8,0,1,9.430102080587893
1,9,0,1,9.713082424062325
2,0,0,0,10.31162882372473
2,1,0,0,10.694399342147237
2,2,0,0,9.491516425981462
2,3,0,0,10.170737110620697
2,4,0,0,10.267391300797406
2,5,0,1,11.286769756375254
2,6,0,1,10.75446582893512
2,7,0,1,8.49319835516471
2,8,0,1,9.786369691514615
2,9,0,1,9.071216630016584
3,0,0,0,10.568087420611674
3,1,0,0,10.923153350505045
3,2,0,0,10.101555985610245
3,3,0,0,9.73187296937215
3,4,0,0,10.069169793035984
3,5,0,1,10.208919273477756
3,6,0,1,9.359900348283093
3,7,0,1,8.781288899230635
3,8,0,1,7.949860957444647
3,9,0,1,11.267182131738885
4,0,0,0,10.496366243634967
4,1,0,0,10.362511011344173
4,2,0,0,11.26519888795295
4,3,0,0,8.744531990307582
4,4,0,0,8.26436912414498
4,5,0,1,10.38423191651909
4,6,0,1,10.29327137544343
4,7,0,1,8.268693190327246
4,8,0,1,10.359521062140471
4,9,0,1,9.599777047600432
5,0,0,0,9.192911940262418
5,1,0,0,9.666576291717588
5,2,0,0,7.55847142908153
5,3,0,0,9.408625776608062
5,4,0,0,9.295705430515795
5,5,0,1,10.55710244693614
5,6,0,1,9.841769863489114
5,7,0,1,10.63886887367888
5,8,0,1,7.450460655263319
5,9,0,1,9.160901777428952
6,0,0,0,10.555997051571444
6,1,0,0,9.691135369426846
6,2,0,0,10.845460532974368
6,3,0,0,8.195397090610777
6,4,0,0,10.731110839689475
6,5,0,1,9.36086078221496
6,6,0,1,9.263802915617326
6,7,0,1,10.991047046927452
6,8,0,1,11.161901129956506
6,9,0,1,11.034699696087282
7,0,0,0,12.038641925048266
7,1,0,0,11.266803608443334
7,2,0,0,9.204563416267701
7,3,0,0,10.14163812813565
7,4,0,0,9.639802091515065
7,5,0,1,12.029089859949066
7,6,0,1,11.10486995469871
7,7,0,1,9.811119863286544
7,8,0,1,10.877909797753002
7,9,0,1,8.767801533686896
8,0,0,0,10.250261737645474
8,1,0,0,9.062077507396916
8,2,0,0,8.311407799372592
8,3,0,0,10.784536237529833
8,4,0,0,10.908591095187552
8,5,0,1,10.457212636211986
8,6,0,1,9.817032959433499
8,7,0,1,8.73364134515359
8,8,0,1,8.838653129282752
8,9,0,1,9.030720020261203
9,0,0,0,9.766326708275077
9,1,0,0,11.076178733604914
9,2,0,0,11.060404211078653
9,3,0,0,8.351432400387123
9,4,0,0,9.306766663283053
9,5,0,1,9.279838980428162
9,6,0,1,7.468416871498754
9,7,0,1,10.566120946949908
9,8,0,1,9.753840175681479
9,9,0,1,9.886857463369024
10,0,0,0,11.34587105837564
10,1,0,0,10.088309013284357
10,2,0,0,9.569269535033982
10,3,0,0,10.572077621004944
10,4,0,0,11.058871846575562
10,5,0,1,10.296467566049225
10,6,0,1,10.689189598698148
10,7,0,1,9.854432350257115
10,8,0,1,9.918142253640337
10,9,0,1,10.113020710298828
11,0,0,0,9.246879049567339
11,1,0,0,9.4319383856304
11,2,0,0,11.377879641818474
11,3,0,0,12.00795609586232
11,4,0,0,11.59219791403818
11,5,0,1,8.676742643231453
11,6,0,1,8.580142465415028
11,7,0,1,8.80929056805484
11,8,0,1,10.13438744187948
11,9,0,1,7.191275407642337
12,0,0,0,9.4111984333805
12,1,0,0,11.407099289161113
12,2,0,0,10.982438830728908
